feature_0,feature_1,feature_2,label
-0.1545244933,0.1777150944,-0.04478363415,0
0.1832770122,0.06469386348,-0.05834388087,0
-0.1277693198,0.46628863,0.2856417307,0
-0.2117721162,0.05391882286,-0.3852648244,0
-0.09482256507,-0.1663964151,0.4800495167,0
0.2770547199,0.1918599598,0.1503167344,0
-0.195662592,-0.3224237938,-0.1394987786,0
-0.02298735049,-0.1962903361,-0.2955496114,0
-0.2423120395,0.04088689063,-0.02688216609,0
-0.00528741255,0.003419456917,-0.02254174629,0
-0.03443502255,0.167017452,-0.09839916894,0
-0.384307281,-0.2737532615,0.1381026976,0
0.03402723597,-0.02303640513,0.1612361984,0
-0.1376203118,0.09288434661,0.2397451663,0
0.09632461731,-0.4645878387,0.0697022403,0
0.009357211664,0.02211933842,0.01058920906,0
0.2155305911,-0.2094268155,0.1309412104,0
0.1703472127,-0.04295347647,0.03418819372,0
-0.1878184251,0.01230060902,0.09086529714,0
0.5081985733,-0.1668390327,-0.2023491578,0
0.1956833009,-0.1091719341,-0.1936513915,0
-0.04901103092,-0.04313921137,-0.07298514338,0
-0.04544989086,-0.05933106819,0.05498979224,0
0.05814312985,0.2469256192,0.1627858878,0
-0.08760028065,-0.107468758,0.2689624856,1
0.001698839543,-0.03992224649,0.008250384586,1
0.0875258818,0.01692351574,0.01734318238,1
0.2495420745,-0.1519469834,-0.03554733046,1
0.1393795142,-0.02464750664,-0.1937996637,1
0.1628196077,0.1554303408,-0.1871128365,1
0.1194570072,0.2439047495,-0.04138304544,1
-0.1653141767,0.1780151365,0.09259305385,1
-0.2578279483,-0.04724948672,-0.1141194031,1
-0.0105030016,-0.1507140499,0.08976944034,0
-0.08420855125,-0.2561941656,0.05524671812,1
-0.07602551175,0.04384918819,-0.2091412658,1
0.09533735358,-0.1329392016,-0.06100270633,1
0.1090922407,0.08619793952,0.1599330876,1
-0.04640148869,-0.2235043112,-0.1537863446,1
-0.08778111815,0.07871167053,-0.01288181531,1
-0.2422618858,0.1334001224,-0.1399352292,2
0.07816743475,-0.07107372529,0.19060399,2
-0.1389658979,-0.08703031221,-0.01480992461,2
-0.02572748789,-0.07370548781,-0.04702509556,2
0.08873822305,0.0620029661,-0.2634772734,0
0.03848258902,-0.02392721553,-0.1266733524,2
-0.0673018424,0.001009809836,0.1411691464,2
-0.2558495725,-0.04226593196,0.08621631518,2
0.04414239757,0.01170350736,-0.02936083338,2
0.01784553327,0.09313105813,0.09126746723,2
0.06652267743,-0.2200149759,0.1269934522,2
0.0469338866,0.1317122674,-0.074290713,2
0.1827448417,0.1504474626,0.1474469626,2
-0.04971790262,0.2449597912,-0.01730829495,2
-0.06701903958,0.001035031739,0.1405773308,2
0.3496840232,0.3206688844,-0.1082353559,0
0.2851022058,-0.02618603882,0.01750977395,2
-0.001186880731,-0.1811409522,-0.03376551325,4
-0.02668715913,0.1586181855,0.07518019328,4
-0.05828537841,-0.08704231786,-0.1572802577,4
0.05484412285,0.3393665634,-0.3257908401,0
0.1833342142,-0.03212110267,0.3716093275,0
-0.5068932981,0.06532608444,-0.2028495882,0
